Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2013,2013,2013,4,0,1,Import,699,India,IND,0,World,WLD,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,6971794,,6971794,,13859305,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,69182452,,69182452,,145893949,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,12,Algeria,DZA,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,8450,,8450,,18189,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,26500,,26500,,76183,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,40,Austria,AUT,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,2000,,2000,,6097,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,50,Bangladesh,BGD,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,7800,,7800,,3996,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,112,Belarus,BLR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,700000,,700000,,1502464,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,22056,,22056,,76456,,,0
H4,2013,2013,2013,4,0,1,Import,699,India,IND,152,Chile,CHL,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,10351,,10351,,83522,,,0
H4,2013,2013,2013,4,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,28200,,28200,,17216,,,0
