Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2014,201406,June 2014,4,0,1,Imports,699,India,,0,World,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,675522,,1247477,,,0
HS,2014,201406,June 2014,4,0,1,Imports,699,India,,554,New Zealand,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,21,,182,,,0
HS,2014,201406,June 2014,4,0,1,Imports,699,India,,704,Viet Nam,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,647736,,1127004,,,0
HS,2014,201406,June 2014,4,0,1,Imports,699,India,,784,United Arab Emirates,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,2940,,22548,,,0
HS,2014,201406,June 2014,4,0,1,Imports,699,India,,826,United Kingdom,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,1425,,8645,,,0
HS,2014,201406,June 2014,4,0,1,Imports,699,India,,842,United States of America,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,23400,,89099,,,0
HS,2014,201405,May 2014,4,0,2,Exports,699,India,,826,United Kingdom,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,79305,,380613,,,0
HS,2014,201405,May 2014,4,0,2,Exports,699,India,,704,Viet Nam,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,900,,5078,,,0
HS,2014,201405,May 2014,4,0,2,Exports,699,India,,724,Spain,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,232540,,583728,,,0
HS,2014,201405,May 2014,4,0,2,Exports,699,India,,764,Thailand,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,37230,,52578,,,0
HS,2014,201405,May 2014,4,0,2,Exports,699,India,,620,Portugal,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,1940,,10082,,,0
HS,2014,201405,May 2014,4,0,2,Exports,699,India,,643,Russian Federation,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,644000,,1021184,,,0
HS,2014,201405,May 2014,4,0,2,Exports,699,India,,702,Singapore,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,162000,,502989,,,0
HS,2014,201405,May 2014,4,0,2,Exports,699,India,,0,World,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,7846868,,16761626,,,0
